director,d_score
Nick Park,48.8169219489489
Nicolas Winding Refn,62.5467685992186
Nicole Holofcener,4.32272509195586
Niels Arden Oplev,28.6533276914707
Nigel Cole,10.4515547600277
Niki Caro,4.73322453622299
Nikita Mikhalkov,1.79414690330349
Nikolaj Arcel,3.13218663186216
Nima Nourizadeh,21.3891663689326
Nimr?d Antal,27.8879773817421
Noah Baumbach,4.3173884782975
Noam Murro,26.4745131982911
Nora Ephron,40.2857491101277
Norman Jewison,13.1696899388315
Olatunde Osunsanmi,11.1708879888775
Oliver Hirschbiegel,39.6216960352423
Oliver Parker,21.0786447789857
Oliver Stone,41.1787696202005
Olivier Assayas,3.43987414163926
Olivier Megaton,71.5710100223265
Olivier Nakache,115.102631786305
Oren Moverman,3.60989867724512
Oren Peli,44.9316789696875
Oxide Pang Chun,6.63054290351291
P.J. Hogan,34.2266858797366
Paco Plaza,30.1146803380871
Paolo Sorrentino,8.44257263096813
Pascal Chaumeil,9.82113821138211
Patrice Leconte,1.95130880468607
Patrick Alessandrin,9.38354591065708
Patrick Gilmore,9.53383272457129
Patrick Hughes,29.654260711592
Patrick Lussier,15.2448320096598
Patrick Tatopoulos,47.9231094722844
